district_id,division_id,participated,participated_men,participated_women,total_registered_voters,total_registered_voters_men,total_registered_voters_women
04,00.04.06,1330,549,781,2331,1013,1318
04,00.04.07,835,394,441,1529,710,819
04,00.04.08,1180,519,661,1842,805,1037
04,00.04.09,912,392,520,1637,708,929
04,00.04.10,1025,458,567,1556,660,896
04,00.04.11,1128,485,643,1749,764,985
04,00.04.12,951,398,553,1524,640,884
04,00.04.13,1443,607,836,2557,1094,1463
04,00.04.14,1442,640,802,2665,1194,1471
04,00.04.15,1114,488,626,1985,876,1109
04,00.04.16,706,312,394,1599,685,914
04,00.04.17,1539,654,885,2819,1222,1597
04,00.04.18,796,356,440,1354,608,746
04,00.04.19,828,360,468,1327,605,722
04,00.04.20,968,563,405,3000,1391,1609
04,00.04.21,528,287,241,1373,638,735
05,00.05.01,1561,735,826,3146,1379,1767
05,00.05.02,1444,718,726,3043,1371,1672
05,00.05.03,1441,602,839,2869,1229,1640
05,00.05.04,851,339,512,1555,664,891
05,00.05.05,651,249,402,1273,529,744
05,00.05.06,1441,575,866,2632,1108,1524
05,00.05.07,859,348,511,1578,678,900
05,00.05.08,888,380,508,1566,668,898
05,00.05.09,857,385,472,1572,691,881
05,00.05.10,904,366,538,1562,666,896
05,00.05.11,1548,591,957,2842,1202,1640
05,00.05.12,1626,670,956,2790,1159,1631
05,00.05.13,1428,600,828,2693,1137,1556
05,00.05.14,976,423,553,1760,766,994
05,00.05.15,1033,434,599,1625,673,952
05,00.05.16,851,366,485,1527,658,869
05,00.05.17,898,378,520,1577,679,898
05,00.05.18,1447,590,857,2683,1118,1565
05,00.05.19,869,380,489,1463,631,832
05,00.05.20,845,360,485,1622,721,901
05,00.05.21,855,394,461,1449,614,835
05,00.05.22,1085,465,620,1918,822,1096
05,00.05.23,877,373,504,1739,735,1004
05,00.05.24,896,414,482,1709,774,935
05,00.05.25,1232,543,689,2763,1248,1515
05,00.05.26,922,378,544,1518,623,895
05,00.05.27,937,407,530,1781,815,966
05,00.05.28,887,408,479,1439,647,792
05,00.05.29,916,411,505,1386,636,750
05,00.05.30,1224,561,663,2210,1012,1198
05,00.05.31,1494,706,788,3168,1457,1711
05,00.05.32,1334,580,754,2863,1301,1562
05,00.05.33,638,309,329,1285,639,646
05,00.05.34,1394,629,765,3077,1390,1687
05,00.05.35,447,216,231,959,425,534
05,00.05.36,790,357,433,1340,592,748
05,00.05.37,702,286,416,1219,508,711
05,00.05.38,1009,427,582,1649,746,903
05,00.05.39,1277,520,757,2551,1060,1491
05,00.05.40,1347,688,659,2319,1026,1293
