district_id,district_alt_id,division_id,division_type,address_1,address_2,address_3,address_4,is_abroad,cancelled,lat,lng,division_is_covid,election_type,total_registered_voters,total_registered_voters_men,total_registered_voters_women,election_numeric_id,total_votes,participated_ocr_traditional,participated_ocr_confidence_traditional,invalid_ballots_ocr_traditional,invalid_ballots_ocr_confidence_traditional,participated_cec,participated_men_cec,participated_women_cec,invalid_ballots_ocr_confidence_electronic,invalid_ballots_ocr_electronic,participated_ocr_confidence_electronic,participated_ocr_electronic,c_participated,c_invalid_ballots,protocols_traditional,protocols_electronic,CAND3,CAND4,CAND5,CAND6,CAND8,CAND9,CAND10,CAND12,CAND16,CAND17,CAND20,CAND21,CAND23,CAND25,CAND26,CAND27,CAND36,CAND41
01,Tbilisi - 01 მთაწმინდა,00.01.21,electronic,51-ე საჯარო სკოლა,51-ე საჯარო სკოლა,პ.მელიქიშვილის გამზ. 2,,False,False,41.70647139055228, 44.78587491289752,,proportional,1345,555,790,57,926,933.0,0.8333333333333333,4.0,1.0,933,378,555,1.0,7.0,1.0,933.0,933,7.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/5a1d352c-8b14-44a3-bd35-de03194ab9c2,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/5a1d352c-8b14-44a3-bd35-de03194ab9c2,0,152,93,2,18,153,6,1,7,1,1,6,1,102,0,1,38,344
01,Tbilisi - 01 მთაწმინდა,00.01.22,electronic,51-ე საჯარო სკოლა,51-ე საჯარო სკოლა,პ.მელიქიშვილის გამზ. 2,,False,False,41.70648451819647, 44.78587772327889,,proportional,1529,621,908,57,1092,1098.0,0.8333333333333333,6.0,0.8333333333333333,1084,413,671,1.0,7.0,1.0,1098.0,1084,7.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/c6138923-aee1-4d8d-b0ea-8f2862d35c40,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/c6138923-aee1-4d8d-b0ea-8f2862d35c40,1,197,66,3,31,198,6,1,3,0,0,1,2,116,0,3,61,403
01,Tbilisi - 01 მთაწმინდა,00.01.23,electronic,მე-3 ბაგა-ბაღი,მე-3 ბაგა-ბაღი,ი.გოგებაშვილის ქ. 39,,False,False,41.7035696, 44.7821094,,proportional,2231,952,1279,57,1471,1486.0,1.0,15.0,0.8333333333333333,1471,630,841,1.0,15.0,1.0,1486.0,1471,15.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/1b1702e9-e756-469e-b26b-3b7fee13cba3,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/1b1702e9-e756-469e-b26b-3b7fee13cba3,2,210,92,3,32,232,16,1,8,3,5,1,1,174,0,3,75,613
01,Tbilisi - 01 მთაწმინდა,00.01.24,electronic,170-ე ბაგა-ბაღი,170-ე ბაგა-ბაღი,ა.შანიძის ქ. 28,,False,False,41.70476, 44.78080,,proportional,2294,1025,1269,57,1458,1473.0,1.0,15.0,0.8333333333333333,1474,647,827,1.0,15.0,1.0,1473.0,1474,15.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/be6bcbe0-79c2-433e-929e-40908f2408b3,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/be6bcbe0-79c2-433e-929e-40908f2408b3,0,205,112,1,39,214,7,4,9,3,3,1,2,172,1,2,79,604
01,Tbilisi - 01 მთაწმინდა,00.01.25,electronic,172-ე ბაგა-ბაღი,172-ე ბაგა-ბაღი,ვ.პეტრიაშვილის ჩიხი 5ა,,False,False,41.70745565200067, 44.77923883883186,,proportional,1679,707,972,57,1183,1190.0,1.0,0.0,0.8333333333333333,1190,482,708,1.0,7.0,1.0,1190.0,1190,7.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/d6347b43-dc9d-4859-b18a-4f5f4f2c70d0,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/d6347b43-dc9d-4859-b18a-4f5f4f2c70d0,1,163,63,4,36,231,14,0,5,3,3,0,1,122,0,0,39,498
01,Tbilisi - 01 მთაწმინდა,00.01.26,electronic,21 -ე საჯარო სკოლა,21 -ე საჯარო სკოლა,ვ.პეტრიაშვილის ქ. 7,,False,False,41.707352172348756, 44.780240280950935,,proportional,1353,571,782,57,978,987.0,1.0,9.0,0.8333333333333333,977,418,559,1.0,9.0,1.0,987.0,977,9.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/c550a068-1f9c-4fb7-9ef8-6f924ce81d2d,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/c550a068-1f9c-4fb7-9ef8-6f924ce81d2d,0,152,63,1,31,188,7,0,5,0,2,2,2,116,1,1,53,354
01,Tbilisi - 01 მთაწმინდა,00.01.27,electronic,58-ე  საჯარო სკოლა,58-ე  საჯარო სკოლა,შ.ღამბაშიძის ქ. 3,,False,False,41.709124160864945, 44.784131776190854,,proportional,1325,553,772,57,942,948.0,1.0,6.0,1.0,935,387,548,1.0,6.0,1.0,948.0,935,6.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/d00fc9f6-68b7-4fd5-8a89-f41d16bfeeef,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/d00fc9f6-68b7-4fd5-8a89-f41d16bfeeef,2,124,60,2,29,181,8,1,7,0,0,0,0,108,0,2,46,372
01,Tbilisi - 01 მთაწმინდა,00.01.28,electronic,58-ე  საჯარო სკოლა,58-ე  საჯარო სკოლა,შ.ღამბაშიძის ქ. 3,,False,False,41.709124160864945, 44.784131776190854,,proportional,1473,598,875,57,999,1009.0,0.8333333333333333,10.0,1.0,992,383,609,1.0,10.0,1.0,1009.0,992,10.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/8250665d-ddb4-4768-8905-2751ae69da9c,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/8250665d-ddb4-4768-8905-2751ae69da9c,0,158,64,3,25,151,9,0,3,0,1,2,2,116,0,3,60,402
01,Tbilisi - 01 მთაწმინდა,00.01.29,electronic,28-ე  საჯარო სკოლა,28-ე  საჯარო სკოლა,ოქროყანა  ი.ჭავჭავაძის ქ. 5,,False,False,41.68670222572169, 44.775952710808845,,proportional,1838,787,1051,57,1241,1258.0,1.0,17.0,1.0,1258,549,709,1.0,17.0,1.0,1258.0,1258,17.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/aed6f82b-6f52-4ce4-b6f1-e1fef2cb114f,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/aed6f82b-6f52-4ce4-b6f1-e1fef2cb114f,1,179,89,4,52,127,18,0,9,1,3,2,0,134,0,3,55,564
01,Tbilisi - 01 მთაწმინდა,00.01.30,electronic,211-ე  საჯარო სკოლა,211-ე  საჯარო სკოლა,წავკისი  შ.რუსთაველის ქ. 1,,False,False,41.66849962245684, 44.74109443736495,,proportional,1207,601,606,57,840,852.0,1.0,15.0,1.0,852,440,412,1.0,12.0,1.0,852.0,852,12.0,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/278c532c-b098-4bb4-b2a2-036c59ba2ebd,https://results.cec.gov.ge/#/ka-ge/election_57/el/prot/278c532c-b098-4bb4-b2a2-036c59ba2ebd,1,103,64,2,22,97,7,2,7,1,3,2,2,93,0,4,13,417
